,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all,time.raw.model,time.raw.train,time.raw.evaluate,time.raw.all
text8.NO.gensim.Word2Vec.ArithmeticMean.CNN,text8,NO,gensim,Word2Vec,ArithmeticMean,CNN,0.8567026194144838,0.8596302252890029,0.8567026194144837,0:32:46.600000,0:04:40.397000,0:00:05.720000,0:37:32.717000,"{'h': 0.0, 'min': 32.0, 'sec': 46.6, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 4.0, 'sec': 40.0, 'ms': 397.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 5.72, 'ms': 0, 'us': 0}","{'h': 0.0, 'min': 36.0, 'sec': 92.32, 'ms': 397.0, 'us': 0.0}"
text8.NO.gensim.Word2Vec.ArithmeticMean.DNN,text8,NO,gensim,Word2Vec,ArithmeticMean,DNN,0.901386748844376,0.9014405171408587,0.901386748844376,0:32:46.600000,0:03:06,0:00:04.550000,0:35:57.150000,"{'h': 0.0, 'min': 32.0, 'sec': 46.6, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 3.0, 'sec': 6.0, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 4.55, 'ms': 0, 'us': 0}","{'h': 0.0, 'min': 35.0, 'sec': 57.15, 'ms': 0.0, 'us': 0.0}"
text8.NO.gensim.Word2Vec.ArithmeticMean.SVM,text8,NO,gensim,Word2Vec,ArithmeticMean,SVM,0.9198767334360555,0.9196491358915793,0.9198767334360555,0:32:46.600000,0:00:01.420000,0:00:00.031100,0:32:48.051100,"{'h': 0.0, 'min': 32.0, 'sec': 46.6, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 1.42, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 31.1, 'us': 0}","{'h': 0.0, 'min': 32.0, 'sec': 48.02, 'ms': 31.1, 'us': 0.0}"
text8.NO.gensim.Word2Vec.BagOfConcepts-TFIDF.CNN,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,CNN,0.7426810477657936,0.740000308093179,0.7426810477657937,1:05:33,0:01:22.426000,0:00:03.470000,1:06:58.896000,"{'h': 0.0, 'min': 64.0, 'sec': 93.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 1.0, 'sec': 22.0, 'ms': 426.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 3.47, 'ms': 0, 'us': 0}","{'h': 0.0, 'min': 65.0, 'sec': 118.47, 'ms': 426.0, 'us': 0.0}"
text8.NO.gensim.Word2Vec.BagOfConcepts-TFIDF.DNN,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,DNN,0.829994863893169,0.8306271386724422,0.829994863893169,1:05:33,0:01:12,0:00:09,1:06:54,"{'h': 0.0, 'min': 64.0, 'sec': 93.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 1.0, 'sec': 12.0, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 9.0, 'ms': 0, 'us': 0}","{'h': 0.0, 'min': 65.0, 'sec': 114.0, 'ms': 0.0, 'us': 0.0}"
text8.NO.gensim.Word2Vec.BagOfConcepts-TFIDF.SVM,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,SVM,0.8253723677452491,0.8259522196039857,0.825372367745249,1:05:33,0:00:00.470000,0:00:00.100000,1:05:33.570000,"{'h': 0.0, 'min': 64.0, 'sec': 93.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 470.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 100.0, 'us': 0}","{'h': 0.0, 'min': 64.0, 'sec': 93.0, 'ms': 570.0, 'us': 0.0}"
text8.NO.gensim.Word2Vec.BagOfConcepts.CNN,text8,NO,gensim,Word2Vec,BagOfConcepts,CNN,0.7267591165896251,0.7292695406386982,0.7267591165896251,1:08:06,0:01:20.493000,0:00:03.390000,1:09:29.883000,"{'h': 0.0, 'min': 67.0, 'sec': 66.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 1.0, 'sec': 20.0, 'ms': 493.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 3.39, 'ms': 0, 'us': 0}","{'h': 0.0, 'min': 68.0, 'sec': 89.39, 'ms': 493.0, 'us': 0.0}"
text8.NO.gensim.Word2Vec.BagOfConcepts.DNN,text8,NO,gensim,Word2Vec,BagOfConcepts,DNN,0.8212634822804314,0.821992850166773,0.8212634822804314,1:08:06,0:01:16,0:00:17.800000,1:09:39.800000,"{'h': 0.0, 'min': 67.0, 'sec': 66.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 1.0, 'sec': 16.0, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 17.8, 'ms': 0, 'us': 0}","{'h': 0.0, 'min': 68.0, 'sec': 99.8, 'ms': 0.0, 'us': 0.0}"
text8.NO.gensim.Word2Vec.BagOfConcepts.SVM,text8,NO,gensim,Word2Vec,BagOfConcepts,SVM,0.7781201848998459,0.7749531671500199,0.7781201848998459,1:08:06,0:00:02.610000,0:00:00.430000,1:08:09.040000,"{'h': 0.0, 'min': 67.0, 'sec': 66.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 2.61, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 430.0, 'us': 0}","{'h': 0.0, 'min': 67.0, 'sec': 68.61, 'ms': 430.0, 'us': 0.0}"
