,tool.word,useStopwords,classifier,micro-F1,time.format.train,time.format.evaluate,time.format.all
0,gensim,NO,RandomForest,0.4893786510886883,0:00:00.744000,0:00:00.143000,0:00:00.887000
1,gensim,NO,SVM,0.8251460435475305,0:00:07.850000,0:00:00.065800,0:00:07.915800
2,gensim,NO,sk-NN,0.7977960701009028,0:00:58.600000,0:00:00.116000,0:00:58.716000
