,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all,time.raw.model,time.raw.train,time.raw.evaluate,time.raw.all
corpus.NO.NO.BOW.TF*IDF-LSA.GaussianNB,corpus,NO,NO,BOW,TF*IDF-LSA,GaussianNB,0.48977695167286245,0.49249340194160496,0.48977695167286245,0:00:18.617000,0:00:00.056700,0:00:00.239000,0:00:18.912700,"{'h': 0.0, 'min': 0.0, 'sec': 17.9, 'ms': 717.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 56.7, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 239.0, 'us': 0}","{'h': 0.0, 'min': 0.0, 'sec': 17.9, 'ms': 1012.7, 'us': 0.0}"
corpus.NO.NO.BOW.TF*IDF-LSA.RandomForestClassifier,corpus,NO,NO,BOW,TF*IDF-LSA,RandomForestClassifier,0.34957514604354756,0.34063105328125426,0.34957514604354756,0:00:18.617000,0:00:02.610000,0:00:00.130000,0:00:21.357000,"{'h': 0.0, 'min': 0.0, 'sec': 17.9, 'ms': 717.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 2.61, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 130.0, 'us': 0}","{'h': 0.0, 'min': 0.0, 'sec': 20.509999999999998, 'ms': 847.0, 'us': 0.0}"
corpus.NO.NO.BOW.TF*IDF-LSA.SVM,corpus,NO,NO,BOW,TF*IDF-LSA,SVM,0.6156399362719065,0.6047686689978449,0.6156399362719065,0:00:18.617000,0:00:02.610000,0:00:00.084100,0:00:21.311100,"{'h': 0.0, 'min': 0.0, 'sec': 17.9, 'ms': 717.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 2.61, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 84.1, 'us': 0}","{'h': 0.0, 'min': 0.0, 'sec': 20.509999999999998, 'ms': 801.1, 'us': 0.0}"
