,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all,time.raw.model,time.raw.train,time.raw.evaluate,time.raw.all
corpus.NO.TensorFlow.Word2Vec.ArithmeticMean.CNN,corpus,NO,TensorFlow,Word2Vec,ArithmeticMean,CNN,0.7521242697822623,0.7416835552300212,0.7521242697822623,0:31:16.200000,0:17:41.402000,0:00:20.700000,0:49:18.302000,"{'h': 0.0, 'min': 30.0, 'sec': 76.2, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 17.0, 'sec': 41.0, 'ms': 402.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 20.7, 'ms': 0, 'us': 0}","{'h': 0.0, 'min': 47.0, 'sec': 137.9, 'ms': 402.0, 'us': 0.0}"
corpus.NO.TensorFlow.Word2Vec.ArithmeticMean.DNN,corpus,NO,TensorFlow,Word2Vec,ArithmeticMean,DNN,0.7562400424853957,0.7464145207776766,0.7562400424853956,0:31:16.200000,0:13:32,0:00:05.150000,0:44:53.350000,"{'h': 0.0, 'min': 30.0, 'sec': 76.2, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 13.0, 'sec': 32.0, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 5.15, 'ms': 0, 'us': 0}","{'h': 0.0, 'min': 43.0, 'sec': 113.35000000000001, 'ms': 0.0, 'us': 0.0}"
corpus.NO.TensorFlow.Word2Vec.ArithmeticMean.SVM,corpus,NO,TensorFlow,Word2Vec,ArithmeticMean,SVM,0.8154540626659585,0.8070091211120822,0.8154540626659585,0:31:16.200000,0:00:15.500000,0:00:00.139000,0:31:31.839000,"{'h': 0.0, 'min': 30.0, 'sec': 76.2, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 15.5, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 139.0, 'us': 0}","{'h': 0.0, 'min': 30.0, 'sec': 91.7, 'ms': 139.0, 'us': 0.0}"
