,tool.word,useStopwords,classifier,micro-F1,time.format.train,time.format.evaluate,time.format.all,time.raw.train,time.raw.evaluate,time.raw.all
gensim.NO.RandomForest,gensim,NO,RandomForest,0.45472650026553374,0:00:01.050000,0:00:00.151000,0:00:01.201000,"{'h': 0, 'min': 0, 'sec': 1.05, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 151.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 1.05, 'ms': 151.0, 'us': 0}"
gensim.NO.SVM,gensim,NO,SVM,0.8305894848645778,0:00:15.700000,0:00:00.047900,0:00:15.747900,"{'h': 0, 'min': 0, 'sec': 15.7, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 47.9, 'us': 0}","{'h': 0, 'min': 0, 'sec': 15.7, 'ms': 47.9, 'us': 0}"
gensim.NO.sk-NN,gensim,NO,sk-NN,0.8085501858736059,0:01:12,0:00:00.164000,0:01:12.164000,"{'h': 0, 'min': 1.0, 'sec': 12.0, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 164.0, 'us': 0}","{'h': 0, 'min': 1.0, 'sec': 12.0, 'ms': 164.0, 'us': 0}"
