,tool.word,useStopwords,classifier,micro-F1,time.format.train,time.format.evaluate,time.format.all
0,gensim,NO,RandomForest,0.4078597981943707,0:00:00.834000,0:00:00.146000,0:00:00.980000
1,gensim,NO,SVM,0.8084174190122145,0:00:10.300000,0:00:00.056200,0:00:10.356200
2,gensim,NO,sk-NN,0.7850504514073288,0:01:09,0:00:00.142000,0:01:09.142000
