,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all
0,corpus,NO,TensorFlow,Word2Vec,ArithmeticMean,CNN,0.7521242697822623,0.7416835552300212,0.7521242697822623,0:31:16.200000,0:17:41.402000,0:00:20.700000,0:49:18.302000
1,corpus,NO,TensorFlow,Word2Vec,ArithmeticMean,DNN,0.7562400424853957,0.7464145207776766,0.7562400424853956,0:31:16.200000,0:13:32,0:00:05.150000,0:44:53.350000
2,corpus,NO,TensorFlow,Word2Vec,ArithmeticMean,SVM,0.8154540626659585,0.8070091211120822,0.8154540626659585,0:31:16.200000,0:00:15.500000,0:00:00.139000,0:31:31.839000
