,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all
0,text8,NO,gensim,Word2Vec,ArithmeticMean,CNN,0.8567026194144838,0.8596302252890029,0.8567026194144837,0:32:46.600000,0:04:40.397000,0:00:05.720000,0:37:32.717000
1,text8,NO,gensim,Word2Vec,ArithmeticMean,DNN,0.901386748844376,0.9014405171408587,0.901386748844376,0:32:46.600000,0:03:06,0:00:04.550000,0:35:57.150000
2,text8,NO,gensim,Word2Vec,ArithmeticMean,SVM,0.9198767334360555,0.9196491358915793,0.9198767334360555,0:32:46.600000,0:00:01.420000,0:00:00.031100,0:32:48.051100
3,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,CNN,0.7426810477657936,0.740000308093179,0.7426810477657937,1:05:33,0:01:22.426000,0:00:03.470000,1:06:58.896000
4,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,DNN,0.829994863893169,0.8306271386724422,0.829994863893169,1:05:33,0:01:12,0:00:09,1:06:54
5,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,SVM,0.8253723677452491,0.8259522196039857,0.825372367745249,1:05:33,0:00:00.470000,0:00:00.100000,1:05:33.570000
6,text8,NO,gensim,Word2Vec,BagOfConcepts,CNN,0.7267591165896251,0.7292695406386982,0.7267591165896251,1:08:06,0:01:20.493000,0:00:03.390000,1:09:29.883000
7,text8,NO,gensim,Word2Vec,BagOfConcepts,DNN,0.8212634822804314,0.821992850166773,0.8212634822804314,1:08:06,0:01:16,0:00:17.800000,1:09:39.800000
8,text8,NO,gensim,Word2Vec,BagOfConcepts,SVM,0.7781201848998459,0.7749531671500199,0.7781201848998459,1:08:06,0:00:02.610000,0:00:00.430000,1:08:09.040000
