,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all
0,corpus,NO,NO,BOW,TF*IDF-LSA,GaussianNB,0.48977695167286245,0.49249340194160496,0.48977695167286245,0:00:18.617000,0:00:00.056700,0:00:00.239000,0:00:18.912700
1,corpus,NO,NO,BOW,TF*IDF-LSA,RandomForestClassifier,0.34957514604354756,0.34063105328125426,0.34957514604354756,0:00:18.617000,0:00:02.610000,0:00:00.130000,0:00:21.357000
2,corpus,NO,NO,BOW,TF*IDF-LSA,SVM,0.6156399362719065,0.6047686689978449,0.6156399362719065,0:00:18.617000,0:00:02.610000,0:00:00.084100,0:00:21.311100
