,test_score_mean,test_score_std,train_score_mean,train_score_std,train_size
0,0.26950645880191776,0.024616455013460253,0.3629924745462594,0.018155021385046384,753
1,0.48622359598343995,0.015875620365331362,0.5337414965986395,0.016354850721321496,2450
2,0.5599436873234649,0.017526034791950407,0.5919762019617302,0.012468292667045196,4146
3,0.6022673542949015,0.005241569405214897,0.6284948077142531,0.006898603293535317,5842
4,0.6428355487635277,0.0036076152144994046,0.662643144537295,0.0064731640743459235,7539
