,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all,time.raw.model,time.raw.train,time.raw.evaluate,time.raw.all
text8.NO.TensorFlow.Word2Vec.ArithmeticMean.CNN,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,CNN,0.8649203903441192,0.8619013684012831,0.864920390344119,2:39:40.700000,0:04:34.402000,0:00:05.820000,2:44:20.922000,"{'h': 2.0, 'min': 39.0, 'sec': 40.7, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 4.0, 'sec': 34.0, 'ms': 402.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 5.82, 'ms': 0, 'us': 0}","{'h': 2.0, 'min': 43.0, 'sec': 80.52000000000001, 'ms': 402.0, 'us': 0.0}"
text8.NO.TensorFlow.Word2Vec.ArithmeticMean.DNN,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,DNN,0.906522855675398,0.9064684962207095,0.906522855675398,2:39:40.700000,0:03:06,0:00:04.860000,2:42:51.560000,"{'h': 2.0, 'min': 39.0, 'sec': 40.7, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 3.0, 'sec': 6.0, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 4.86, 'ms': 0, 'us': 0}","{'h': 2.0, 'min': 42.0, 'sec': 51.56, 'ms': 0.0, 'us': 0.0}"
text8.NO.TensorFlow.Word2Vec.ArithmeticMean.SVM,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,SVM,0.923472008217771,0.9233005072470482,0.923472008217771,2:39:40.700000,0:00:02.120000,0:00:00.023100,2:39:42.843100,"{'h': 2.0, 'min': 39.0, 'sec': 40.7, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 2.12, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 23.1, 'us': 0}","{'h': 2.0, 'min': 39.0, 'sec': 42.82, 'ms': 23.1, 'us': 0.0}"
text8.NO.TensorFlow.Word2Vec.BagOfConcepts-TFIDF.CNN,text8,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,CNN,0.2886492039034412,0.277408537694018,0.2886492039034412,2:52:44,0:01:12.448000,0:00:03.590000,2:54:00.038000,"{'h': 2.0, 'min': 52.0, 'sec': 44.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 1.0, 'sec': 12.0, 'ms': 448.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 3.59, 'ms': 0, 'us': 0}","{'h': 2.0, 'min': 53.0, 'sec': 59.59, 'ms': 448.0, 'us': 0.0}"
text8.NO.TensorFlow.Word2Vec.BagOfConcepts-TFIDF.DNN,text8,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,DNN,0.28608115048793015,0.19607762900539544,0.28608115048793015,2:52:44,0:01:12,0:00:01.500000,2:53:57.500000,"{'h': 2.0, 'min': 52.0, 'sec': 44.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 1.0, 'sec': 12.0, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 1.5, 'ms': 0, 'us': 0}","{'h': 2.0, 'min': 53.0, 'sec': 57.5, 'ms': 0.0, 'us': 0.0}"
text8.NO.TensorFlow.Word2Vec.BagOfConcepts-TFIDF.SVM,text8,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,SVM,0.28197226502311246,0.19943066650084992,0.28197226502311246,2:52:44,0:00:00.290000,0:00:00.108000,2:52:44.398000,"{'h': 2.0, 'min': 52.0, 'sec': 44.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 290.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 108.0, 'us': 0}","{'h': 2.0, 'min': 52.0, 'sec': 44.0, 'ms': 398.0, 'us': 0.0}"
text8.NO.TensorFlow.Word2Vec.BagOfConcepts.CNN,text8,NO,TensorFlow,Word2Vec,BagOfConcepts,CNN,0.28556753980482796,0.23257303291387058,0.28556753980482796,2:39:40.820000,0:01:11.398000,0:00:03.560000,2:40:55.778000,"{'h': 2.0, 'min': 39.0, 'sec': 40.82, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 1.0, 'sec': 11.0, 'ms': 398.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 3.56, 'ms': 0, 'us': 0}","{'h': 2.0, 'min': 40.0, 'sec': 55.38, 'ms': 398.0, 'us': 0.0}"
text8.NO.TensorFlow.Word2Vec.BagOfConcepts.DNN,text8,NO,TensorFlow,Word2Vec,BagOfConcepts,DNN,0.31587057010785824,0.2688294146639216,0.31587057010785824,2:39:40.820000,0:00:59.300000,0:00:01.440000,2:40:41.560000,"{'h': 2.0, 'min': 39.0, 'sec': 40.82, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 59.3, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 1.44, 'ms': 0, 'us': 0}","{'h': 2.0, 'min': 39.0, 'sec': 101.56, 'ms': 0.0, 'us': 0.0}"
text8.NO.TensorFlow.Word2Vec.BagOfConcepts.SVM,text8,NO,TensorFlow,Word2Vec,BagOfConcepts,SVM,0.23163841807909605,0.1574173080545591,0.23163841807909602,2:39:40.820000,0:00:00.638000,0:00:00.025400,2:39:41.483400,"{'h': 2.0, 'min': 39.0, 'sec': 40.82, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 638.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 25.4, 'us': 0}","{'h': 2.0, 'min': 39.0, 'sec': 40.82, 'ms': 663.4, 'us': 0.0}"
