,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all,time.raw.model,time.raw.train,time.raw.evaluate,time.raw.all
corpus.NO.gensim.Word2Vec.ArithmeticMean.CNN,corpus,NO,gensim,Word2Vec,ArithmeticMean,CNN,0.7282262347318109,0.720770867622724,0.7282262347318109,0:06:30,0:17:42.397000,0:00:20.600000,0:24:32.997000,"{'h': 0.0, 'min': 6.0, 'sec': 30.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 17.0, 'sec': 42.0, 'ms': 397.0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 20.6, 'ms': 0, 'us': 0}","{'h': 0.0, 'min': 23.0, 'sec': 92.6, 'ms': 397.0, 'us': 0.0}"
corpus.NO.gensim.Word2Vec.ArithmeticMean.DNN,corpus,NO,gensim,Word2Vec,ArithmeticMean,DNN,0.7116303770578863,0.6939830934135581,0.7116303770578863,0:06:30,0:13:04,0:00:05.150000,0:19:39.150000,"{'h': 0.0, 'min': 6.0, 'sec': 30.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 13.0, 'sec': 4.0, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 5.15, 'ms': 0, 'us': 0}","{'h': 0.0, 'min': 19.0, 'sec': 39.15, 'ms': 0.0, 'us': 0.0}"
corpus.NO.gensim.Word2Vec.ArithmeticMean.SVM,corpus,NO,gensim,Word2Vec,ArithmeticMean,SVM,0.791157727031333,0.7805163276493535,0.791157727031333,0:06:30,0:00:18.100000,0:00:00.216000,0:06:48.316000,"{'h': 0.0, 'min': 6.0, 'sec': 30.0, 'ms': 0.0, 'us': 0.0}","{'h': 0, 'min': 0, 'sec': 18.1, 'ms': 0, 'us': 0}","{'h': 0, 'min': 0, 'sec': 0, 'ms': 216.0, 'us': 0}","{'h': 0.0, 'min': 6.0, 'sec': 48.1, 'ms': 216.0, 'us': 0.0}"
