,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all
0,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,CNN,0.8649203903441192,0.8619013684012831,0.864920390344119,2:39:40.700000,0:04:34.402000,0:00:05.820000,2:44:20.922000
1,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,DNN,0.906522855675398,0.9064684962207095,0.906522855675398,2:39:40.700000,0:03:06,0:00:04.860000,2:42:51.560000
2,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,SVM,0.923472008217771,0.9233005072470482,0.923472008217771,2:39:40.700000,0:00:02.120000,0:00:00.023100,2:39:42.843100
3,text8,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,CNN,0.2886492039034412,0.277408537694018,0.2886492039034412,2:52:44,0:01:12.448000,0:00:03.590000,2:54:00.038000
4,text8,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,DNN,0.28608115048793015,0.19607762900539544,0.28608115048793015,2:52:44,0:01:12,0:00:01.500000,2:53:57.500000
5,text8,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,SVM,0.28197226502311246,0.19943066650084992,0.28197226502311246,2:52:44,0:00:00.290000,0:00:00.108000,2:52:44.398000
6,text8,NO,TensorFlow,Word2Vec,BagOfConcepts,CNN,0.28556753980482796,0.23257303291387058,0.28556753980482796,2:39:40.820000,0:01:11.398000,0:00:03.560000,2:40:55.778000
7,text8,NO,TensorFlow,Word2Vec,BagOfConcepts,DNN,0.31587057010785824,0.2688294146639216,0.31587057010785824,2:39:40.820000,0:00:59.300000,0:00:01.440000,2:40:41.560000
8,text8,NO,TensorFlow,Word2Vec,BagOfConcepts,SVM,0.23163841807909605,0.1574173080545591,0.23163841807909602,2:39:40.820000,0:00:00.638000,0:00:00.025400,2:39:41.483400
