,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_degree,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,272.39405004183453,66.84841990470886,0.060367686052678095,0.06146656158155369,0.01,1,linear,"{'C': 0.01, 'degree': 1, 'kernel': 'linear'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,5.2487905102880426,0.32839211816344677,0.010438801573328093,0.011902252919469787
1,275.7378210226695,68.17665855089824,0.060367686052678095,0.06146656158155369,0.01,1,poly,"{'C': 0.01, 'degree': 1, 'kernel': 'poly'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,1.0835949490768102,0.43866730211882826,0.010438801573328093,0.011902252919469787
2,280.4694616794586,70.86191415786743,0.060367686052678095,0.06151072339042138,0.01,1,rbf,"{'C': 0.01, 'degree': 1, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,0.8675928000155573,0.8663974385587137,0.010438801573328093,0.011964707141272648
3,277.96812319755554,66.94567275047302,0.060367686052678095,0.06146656158155369,0.01,1,sigmoid,"{'C': 0.01, 'degree': 1, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,2.5961409395853483,0.22583257095577966,0.010438801573328093,0.011902252919469787
4,276.6052135626475,66.62800772984822,0.060367686052678095,0.06146656158155369,0.01,2,linear,"{'C': 0.01, 'degree': 2, 'kernel': 'linear'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,0.3742237595680245,0.1578972048434576,0.010438801573328093,0.011902252919469787
5,276.1400736967723,66.39235560099284,0.06346119851511402,0.06482285905549823,0.01,2,poly,"{'C': 0.01, 'degree': 2, 'kernel': 'poly'}",89,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.0844397238449283,0.08836777954425014,2.2275066471981235,0.4408463048293834,0.014818331246239724,0.01664877393122569
6,281.4725875059764,70.33502880732219,0.060367686052678095,0.06151072339042138,0.01,2,rbf,"{'C': 0.01, 'degree': 2, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,1.39814233416075,0.25326761957084265,0.010438801573328093,0.011964707141272648
7,276.358318010966,66.68802348772685,0.060367686052678095,0.06146656158155369,0.01,2,sigmoid,"{'C': 0.01, 'degree': 2, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,1.0243976792439582,0.5500262174046566,0.010438801573328093,0.011902252919469787
8,279.0054392814636,67.34316555658977,0.060367686052678095,0.06146656158155369,0.01,3,linear,"{'C': 0.01, 'degree': 3, 'kernel': 'linear'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,0.9243944462916043,0.45144265454040916,0.010438801573328093,0.011902252919469787
9,279.55650210380554,67.5195705095927,0.06602439455541807,0.06698678769001509,0.01,3,poly,"{'C': 0.01, 'degree': 3, 'kernel': 'poly'}",83,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.09214020180562932,0.09485956544780075,0.9770604830839406,0.6781652146821214,0.018447085073614422,0.0197090310002722
10,285.10123467445374,70.23891123135884,0.060367686052678095,0.06151072339042138,0.01,3,rbf,"{'C': 0.01, 'degree': 3, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,1.1020461779004602,0.6833374659649564,0.010438801573328093,0.011964707141272648
11,280.35334245363873,67.82683038711548,0.060367686052678095,0.06146656158155369,0.01,3,sigmoid,"{'C': 0.01, 'degree': 3, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,0.26942807683125514,1.01617177357551,0.010438801573328093,0.011902252919469787
12,279.1919496059418,66.39255420366923,0.060367686052678095,0.06146656158155369,0.01,4,linear,"{'C': 0.01, 'degree': 4, 'kernel': 'linear'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,0.702604166613922,0.22658746488757944,0.010438801573328093,0.011902252919469787
13,277.3938655058543,66.00021107991536,0.06690825525897119,0.06809083291170738,0.01,4,poly,"{'C': 0.01, 'degree': 4, 'kernel': 'poly'}",77,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.09479553903345725,0.0981717011128776,1.5275345812191927,0.30895903674186703,0.019698379571434298,0.021270386664805182
