,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,2.1306782563527427,0.32200169563293457,0.47896411525543575,0.9971273797304474,,10,"{'max_depth': None, 'n_estimators': 10}",25,0.48026490066225164,0.9970818410929831,0.4836999734958919,0.9969500066304203,0.47291556027615506,0.9973502914679385,0.22289697598455924,0.03544062082302081,0.004496859364937754,0.0001665579246855034
1,4.949487527211507,0.4350461959838867,0.5660243945554181,0.9998674208597804,,20,"{'max_depth': None, 'n_estimators': 20}",18,0.5674172185430464,0.9998673564133174,0.5666578319639544,0.9998673915926269,0.5639936271906533,0.999867514573397,0.3297156521415368,0.056637499365424795,0.0014675886176090727,6.780401855552548e-08
2,14.4712495803833,0.518143097559611,0.6547640091921513,1.0,,50,"{'max_depth': None, 'n_estimators': 50}",10,0.6672847682119205,1.0,0.6554465942221044,1.0,0.6415294742432289,1.0,0.36293458538889706,0.020573223148926213,0.010524466277473452,0.0
3,29.070868730545044,0.773402214050293,0.6995757468622945,1.0,,100,"{'max_depth': None, 'n_estimators': 100}",5,0.7054304635761589,1.0,0.6944076331831434,1.0,0.6988847583643123,1.0,0.24825021668813663,0.03789734046304357,0.004528024836845474,0.0
4,57.838616053263344,3.393897851308187,0.7311295739791409,1.0,,200,"{'max_depth': None, 'n_estimators': 200}",2,0.7403973509933774,1.0,0.7293930559236682,1.0,0.723579394583112,1.0,0.32813859764400904,1.9859709570620674,0.006974157529774785,0.0
5,160.13779362042746,21.25486143430074,0.7524306169347711,1.0,,500,"{'max_depth': None, 'n_estimators': 500}",1,0.757615894039735,1.0,0.7474158494566658,1.0,0.7522570366436537,1.0,6.144825244889609,18.487145674483344,0.004167426605429748,0.0
6,3.4539990425109863,0.42716654141743976,0.3292381120735372,0.3484211377864422,3,10,"{'max_depth': 3, 'n_estimators': 10}",36,0.34278145695364237,0.3560153866560552,0.3180492976411344,0.3491579366131813,0.32687201274561867,0.3400900900900901,0.13958690984563094,0.033086974529226786,0.01023777196644502,0.006522316667248323
7,4.488555431365967,0.4282834529876709,0.3740498497436804,0.4023304137340415,3,20,"{'max_depth': 3, 'n_estimators': 20}",35,0.37721854304635766,0.40721581111553257,0.36655181553140737,0.386420899085002,0.3783855549654806,0.4133545310015898,0.02079063533045141,0.009312690207533364,0.005325019480205125,0.011525492404112133
8,7.432579120000203,0.5763299465179443,0.4117907017853986,0.4464769067523993,3,50,"{'max_depth': 3, 'n_estimators': 50}",33,0.41086092715231787,0.4455498076667993,0.4031274847601378,0.4304468903328471,0.4214020180562931,0.46343402225755165,0.3119776308920467,0.03744028562876777,0.007487691689180156,0.013482886750503534
9,7.240273157755534,2.1420026620229087,0.43768782039950505,0.4696351187344506,3,100,"{'max_depth': 3, 'n_estimators': 100}",32,0.43125827814569534,0.46319140469558295,0.4391730718261331,0.4641294258055961,0.44264471587891663,0.48158452570217275,1.686622812999802,1.67333703203791,0.004765228826779817,0.008458180106102126
10,18.26116394996643,1.1301337083180745,0.4494431677567615,0.48298280336560645,3,200,"{'max_depth': 3, 'n_estimators': 200}",30,0.4482119205298013,0.4812309324844144,0.4484495096739995,0.47593157406179554,0.4516728624535316,0.4917859035506094,2.0233123447234056,0.1882272305991366,0.0015779463619565383,0.006589978734070128
11,45.93500177065531,2.345459540685018,0.4550114901891462,0.487138704404896,3,500,"{'max_depth': 3, 'n_estimators': 500}",29,0.4487417218543046,0.4828226555246054,0.4574609064404983,0.48905980639172525,0.45884227296866703,0.4895336512983572,1.437983977457004,0.39702805445750433,0.004472309216515967,0.003058032123406401
12,3.726141929626465,0.4443353017171224,0.3849213363973838,0.42849165749687085,4,10,"{'max_depth': 4, 'n_estimators': 10}",34,0.38516556291390736,0.4200822390237432,0.37847866419294984,0.42633602970428325,0.39113117365905475,0.4390567037625861,0.11848506444833741,0.012865818806686084,0.005166998438138273,0.007894834869141984
13,4.912718296051025,0.4092276096343994,0.44086971893229626,0.49150932911348394,4,20,"{'max_depth': 4, 'n_estimators': 20}",31,0.4328476821192053,0.47725162488393685,0.44420885237211766,0.4917119745391858,0.44556558682952735,0.505564387917329,0.17030047734749337,0.04184349316765743,0.005703518572181178,0.011559525264838904
14,8.846675793329874,0.47868601481119794,0.4778150963408167,0.536234594178732,4,50,"{'max_depth': 4, 'n_estimators': 50}",26,0.4683443708609272,0.5261971083698104,0.47442353564802536,0.5371966582681342,0.49070631970260226,0.5453100158982512,0.11673072556646659,0.017127808295113046,0.0094381890992634,0.0078324106136732
15,7.46795376141866,2.1194353898366294,0.497436803959696,0.5567854855740375,4,100,"{'max_depth': 4, 'n_estimators': 100}",23,0.4908609271523179,0.5492770924525799,0.5017227670288895,0.5581487866330725,0.4997344662772172,0.56293057763646,3.2967873692480802,0.6506423635106867,0.0047234726498284006,0.005656757419216
16,6.047844807306926,0.5497836271921793,0.5130811384125862,0.5725191612424969,4,200,"{'max_depth': 4, 'n_estimators': 200}",22,0.5027814569536424,0.5685104125215545,0.5194805194805194,0.5724704946293595,0.5169941582580988,0.5765765765765766,0.9356309465725223,0.031240487738395734,0.007358596430393598,0.003293177489908296
17,39.2282030582428,12.943953593571981,0.517588828000707,0.5807391205582606,4,500,"{'max_depth': 4, 'n_estimators': 500}",20,0.5094039735099338,0.5759384533757793,0.5237211767824013,0.5818856915528444,0.5196494954859268,0.584393216746158,6.366126490537019,8.639317922907784,0.006025491451950706,0.003545581729090436
