,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all
0,corpus,NO,gensim,Word2Vec,ArithmeticMean,CNN,0.9090909090909091,0.9090033382756333,0.9090909090909091,0:01:42.750000,0:04:27.397000,0:00:05.740000,0:06:15.887000
1,corpus,NO,gensim,Word2Vec,ArithmeticMean,DNN,0.9167950693374423,0.9170426759565127,0.9167950693374423,0:01:42.750000,0:02:56,0:00:04.680000,0:04:43.430000
2,corpus,NO,gensim,Word2Vec,ArithmeticMean,SVM,0.9301489470980996,0.9301380824830477,0.9301489470980996,0:01:42.750000,0:00:01.150000,0:00:00.021300,0:01:43.921300
3,corpus,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,CNN,0.8258859784283513,0.8286834383356088,0.8258859784283512,0:15:11,0:01:19.388000,0:00:03.280000,0:16:33.668000
4,corpus,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,DNN,0.8962506420133539,0.8961600264737841,0.8962506420133539,0:15:11,0:01:01,0:00:01.210000,0:16:13.210000
5,corpus,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,SVM,0.8957370313302516,0.8955061441373434,0.8957370313302516,0:15:11,0:00:00.054600,0:00:00.019100,0:15:11.073700
6,corpus,NO,gensim,Word2Vec,BagOfConcepts,CNN,0.8084232152028762,0.8089190413746662,0.8084232152028761,0:15:14,0:01:19.396000,0:00:03.390000,0:16:36.786000
7,corpus,NO,gensim,Word2Vec,BagOfConcepts,DNN,0.8947098099640473,0.8945340777649031,0.8947098099640473,0:15:14,0:01:00,0:00:01.380000,0:16:15.380000
8,corpus,NO,gensim,Word2Vec,BagOfConcepts,SVM,0.8798151001540832,0.8794590955510717,0.8798151001540832,0:15:14,0:00:00.445000,0:00:00.017600,0:15:14.462600
