,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all
32,corpus,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,SVM,0.454545454545455,0.46321355229913,0.454545454545455,0:18:20,0:00:00.051000,0:00:00.016000,0:18:20.067000
33,corpus,NO,TensorFlow,Word2Vec,BagOfConcepts,CNN,0.335901386748844,0.307080301825219,0.335901386748844,0:18:35,0:01:16.394000,0:00:03.410000,0:19:54.804000
34,corpus,NO,TensorFlow,Word2Vec,BagOfConcepts,DNN,0.512069851052902,0.526851035024314,0.512069851052902,0:18:35,0:01:01,0:00:01.390000,0:19:37.390000
35,corpus,NO,TensorFlow,Word2Vec,BagOfConcepts,SVM,0.468412942989214,0.468410015964157,0.468412942989214,0:18:35,0:00:00.740000,0:00:00.028000,0:18:35.768000
36,text8,NO,gensim,Word2Vec,ArithmeticMean,CNN,0.856702619414484,0.859630225289003,0.856702619414484,0:32:46.600000,0:04:40.397000,0:00:05.720000,0:37:32.717000
37,text8,NO,gensim,Word2Vec,ArithmeticMean,DNN,0.901386748844376,0.901440517140859,0.901386748844376,0:32:46.600000,0:03:06,0:00:04.550000,0:35:57.150000
38,text8,NO,gensim,Word2Vec,ArithmeticMean,SVM,0.919876733436056,0.919649135891579,0.919876733436056,0:32:46.600000,0:00:01.420000,0:00:00.031100,0:32:48.051100
39,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,CNN,0.742681047765794,0.740000308093179,0.742681047765794,1:05:33,0:01:22.426000,0:00:03.470000,1:06:58.896000
40,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,DNN,0.829994863893169,0.830627138672442,0.829994863893169,1:05:33,0:01:12,0:00:09,1:06:54
41,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,SVM,0.825372367745249,0.825952219603986,0.825372367745249,1:05:33,0:00:00.470000,0:00:00.100000,1:05:33.570000
42,text8,NO,gensim,Word2Vec,BagOfConcepts,CNN,0.726759116589625,0.729269540638698,0.726759116589625,1:08:06,0:01:20.493000,0:00:03.390000,1:09:29.883000
43,text8,NO,gensim,Word2Vec,BagOfConcepts,DNN,0.821263482280431,0.821992850166773,0.821263482280431,1:08:06,0:01:16,0:00:17.800000,1:09:39.800000
44,text8,NO,gensim,Word2Vec,BagOfConcepts,SVM,0.778120184899846,0.77495316715002,0.778120184899846,1:08:06,0:00:02.610000,0:00:00.430000,1:08:09.040000
45,corpus,NO,gensim,Word2Vec,ArithmeticMean,CNN,0.909090909090909,0.909003338275633,0.909090909090909,0:01:42.750000,0:04:27.397000,0:00:05.740000,0:06:15.887000
46,corpus,NO,gensim,Word2Vec,ArithmeticMean,DNN,0.916795069337442,0.917042675956513,0.916795069337442,0:01:42.750000,0:02:56,0:00:04.680000,0:04:43.430000
47,corpus,NO,gensim,Word2Vec,ArithmeticMean,SVM,0.9301489470981,0.930138082483048,0.9301489470981,0:01:42.750000,0:00:01.150000,0:00:00.021300,0:01:43.921300
48,corpus,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,CNN,0.825885978428351,0.828683438335609,0.825885978428351,0:15:11,0:01:19.388000,0:00:03.280000,0:16:33.668000
49,corpus,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,DNN,0.896250642013354,0.896160026473784,0.896250642013354,0:15:11,0:01:01,0:00:01.210000,0:16:13.210000
50,corpus,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,SVM,0.895737031330252,0.895506144137343,0.895737031330252,0:15:11,0:00:00.054600,0:00:00.019100,0:15:11.073700
51,corpus,NO,gensim,Word2Vec,BagOfConcepts,CNN,0.808423215202876,0.808919041374666,0.808423215202876,0:15:14,0:01:19.396000,0:00:03.390000,0:16:36.786000
52,corpus,NO,gensim,Word2Vec,BagOfConcepts,DNN,0.894709809964047,0.894534077764903,0.894709809964047,0:15:14,0:01:00,0:00:01.380000,0:16:15.380000
53,corpus,NO,gensim,Word2Vec,BagOfConcepts,SVM,0.879815100154083,0.879459095551072,0.879815100154083,0:15:14,0:00:00.445000,0:00:00.017600,0:15:14.462600
54,corpus,NO,gensim,none-Doc2Vec,Doc2Vec,CNN,0.500770416024653,0.482544716786064,0.500770416024653,0:09:03.000005,0:04:07.422000,0:00:06,0:13:16.422005
55,corpus,NO,gensim,none-Doc2Vec,Doc2Vec,DNN,0.714946070878274,0.710270328009825,0.714946070878274,0:09:03.000005,0:03:01,0:00:04.370000,0:12:08.370005
56,corpus,NO,gensim,none-Doc2Vec,Doc2Vec,SVM,0.727272727272727,0.724396427762548,0.727272727272727,0:09:03.000005,0:00:10.100000,0:00:00.353000,0:09:13.453005
